Any,Equipament,Indicador,Valor,Notes_Dades,Notes_Equipament,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Titularitat,TipusGeneral,TipusEquipament,Ambit,Latitud,Longitud
2021,"Centre Cívic Can Felipa",InscripcionsActivitatsFormacio,791,,,10,"Sant Martí",68,"el Poblenou",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.404013272,2.201386526
2021,"Centre Cívic Can Felipa",Metres_quadrats,3125,,,10,"Sant Martí",68,"el Poblenou",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.404013272,2.201386526
2021,"Centre Cívic Can Verdaguer",ActivitatsDeFormacio,140,,,08,"Nou Barris",45,Porta,Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.433977414,2.179080278
2021,"Centre Cívic Can Verdaguer",InscripcionsActivitatsFormacio,784,,,08,"Nou Barris",45,Porta,Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.433977414,2.179080278
2021,"Centre Cívic Can Verdaguer",Metres_quadrats,990,,,08,"Nou Barris",45,Porta,Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.433977414,2.179080278
2021,"Centre Cívic Casa del Rellotge",ActivitatsDeFormacio,63,,,03,Sants-Montjuïc,13,"la Marina de Port",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.357544067,2.141389922
2021,"Centre Cívic Casa del Rellotge",InscripcionsActivitatsFormacio,383,,,03,Sants-Montjuïc,13,"la Marina de Port",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.357544067,2.141389922
2021,"Centre Cívic Casa del Rellotge",Metres_quadrats,880,,,03,Sants-Montjuïc,13,"la Marina de Port",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.357544067,2.141389922
2021,"Centre Cívic Casa Groga",ActivitatsDeFormacio,22,,,07,Horta-Guinardó,39,"Sant Genís dels Agudells",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.426863420,2.137450112
2021,"Centre Cívic Casa Groga",InscripcionsActivitatsFormacio,159,,,07,Horta-Guinardó,39,"Sant Genís dels Agudells",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.426863420,2.137450112
2021,"Centre Cívic Casa Groga",Metres_quadrats,1152,,,07,Horta-Guinardó,39,"Sant Genís dels Agudells",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.426863420,2.137450112
2021,"Centre Cívic Casa Orlandai",ActivitatsDeFormacio,85,,,05,"Sarrià-Sant Gervasi",23,Sarrià,Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.398330273,2.124656447
2021,"Centre Cívic Casa Orlandai",InscripcionsActivitatsFormacio,792,,,05,"Sarrià-Sant Gervasi",23,Sarrià,Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.398330273,2.124656447
2021,"Centre Cívic Casa Orlandai",Metres_quadrats,1066,,,05,"Sarrià-Sant Gervasi",23,Sarrià,Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.398330273,2.124656447
2021,"Centre Cívic Convent de Sant Agustí",ActivitatsDeFormacio,123,,,01,"Ciutat Vella",04,"Sant Pere, Santa Caterina i la Ribera",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.387391384,2.181711349
2021,"Centre Cívic Convent de Sant Agustí",InscripcionsActivitatsFormacio,675,,,01,"Ciutat Vella",04,"Sant Pere, Santa Caterina i la Ribera",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.387391384,2.181711349
2021,"Centre Cívic Convent de Sant Agustí",Metres_quadrats,1655,,,01,"Ciutat Vella",04,"Sant Pere, Santa Caterina i la Ribera",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.387391384,2.181711349
2021,"Centre Cívic Cotxeres Borrell",ActivitatsDeFormacio,68,,,02,Eixample,10,"Sant Antoni",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.375908694,2.163176076
2021,"Centre Cívic Cotxeres Borrell",InscripcionsActivitatsFormacio,591,,,02,Eixample,10,"Sant Antoni",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.375908694,2.163176076
2021,"Centre Cívic Cotxeres Borrell",Metres_quadrats,1775,,,02,Eixample,10,"Sant Antoni",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.375908694,2.163176076
2021,"Centre Cívic Cotxeres de Sants",ActivitatsDeFormacio,574,,,03,Sants-Montjuïc,18,Sants,Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.375264199,2.136876024
2021,"Centre Cívic Cotxeres de Sants",InscripcionsActivitatsFormacio,5018,,,03,Sants-Montjuïc,18,Sants,Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.375264199,2.136876024
2021,"Centre Cívic Cotxeres de Sants",Metres_quadrats,3167,,,03,Sants-Montjuïc,18,Sants,Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.375264199,2.136876024
2021,"Centre Cívic del Parc - Sandaru",ActivitatsDeFormacio,94,,,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.391718569,2.184755119
2021,"Centre Cívic del Parc - Sandaru",InscripcionsActivitatsFormacio,779,,,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.391718569,2.184755119
2021,"Centre Cívic del Parc - Sandaru",Metres_quadrats,2000,,,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.391718569,2.184755119
2021,"Centre Cívic Drassanes",ActivitatsDeFormacio,98,,,01,"Ciutat Vella",01,"el Raval",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.377644996,2.172852395
2021,"Centre Cívic Drassanes",InscripcionsActivitatsFormacio,686,,,01,"Ciutat Vella",01,"el Raval",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.377644996,2.172852395
2021,"Centre Cívic Drassanes",Metres_quadrats,1074,,,01,"Ciutat Vella",01,"el Raval",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.377644996,2.172852395
2021,"Centre Cívic El Carmel",ActivitatsDeFormacio,46,,,07,Horta-Guinardó,37,"el Carmel",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.420263994,2.151191237
2021,"Centre Cívic El Carmel",InscripcionsActivitatsFormacio,243,,,07,Horta-Guinardó,37,"el Carmel",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.420263994,2.151191237
2021,"Centre Cívic El Carmel",Metres_quadrats,1054,,,07,Horta-Guinardó,37,"el Carmel",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.420263994,2.151191237
2021,"Centre Cívic El Coll - La Bruguera",ActivitatsDeFormacio,47,,,06,Gràcia,29,"el Coll",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.418579055,2.149896871
2021,"Centre Cívic El Coll - La Bruguera",InscripcionsActivitatsFormacio,729,,,06,Gràcia,29,"el Coll",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.418579055,2.149896871
2021,"Centre Cívic El Coll - La Bruguera",Metres_quadrats,1300,,,06,Gràcia,29,"el Coll",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.418579055,2.149896871
2021,"Centre Cívic El Sortidor",ActivitatsDeFormacio,122,,,03,Sants-Montjuïc,11,"el Poble Sec",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.372066797,2.162531728
2021,"Centre Cívic El Sortidor",InscripcionsActivitatsFormacio,1095,,,03,Sants-Montjuïc,11,"el Poble Sec",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.372066797,2.162531728
2021,"Centre Cívic El Sortidor",Metres_quadrats,905,,,03,Sants-Montjuïc,11,"el Poble Sec",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.372066797,2.162531728
2021,"Centre Cívic Font de la Guatlla",ActivitatsDeFormacio,181,,,03,Sants-Montjuïc,14,"la Font de la Guatlla",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.370560397,2.147508546
2021,"Centre Cívic Font de la Guatlla",InscripcionsActivitatsFormacio,1686,,,03,Sants-Montjuïc,14,"la Font de la Guatlla",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.370560397,2.147508546
2021,"Centre Cívic Font de la Guatlla",Metres_quadrats,635,,,03,Sants-Montjuïc,14,"la Font de la Guatlla",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.370560397,2.147508546
2021,"Centre Cívic Fort Pienc",ActivitatsDeFormacio,90,,,02,Eixample,05,"el Fort Pienc",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.395557419,2.182446362
